collection,reference,price,currency,country,year,price_USD,price_USD_median,Price Difference,Difference Rate (%)
LUMINOR,PAM01028,11100.0,USD,USA,2021,11100.0,10121.0,979.0,9.672957217666237
LUMINOR-DUE,PAM01029,15400.0,EUR,France,2021,18172.0,18332.0,-160.0,-0.8727907484180668
LUMINOR-DUE,PAM01029,1903000.0,JPY,Japan,2021,17317.3,18332.0,-1014.7000000000007,-5.535129827623831
LUMINOR-DUE,PAM01029,13400.0,GBP,UK,2021,18492.0,18332.0,160.0,0.8727907484180668
LUMINOR-DUE,PAM01029,20000.0,USD,USA,2021,20000.0,18332.0,1668.0,9.098843552258346
LUMINOR,PAM01033,9100.0,EUR,France,2021,10738.0,10820.0,-82.0,-0.7578558225508317
LUMINOR,PAM01033,1122000.0,JPY,Japan,2021,10210.2,10820.0,-609.7999999999993,-5.635859519408496
LUMINOR,PAM01033,7900.0,GBP,UK,2021,10902.0,10820.0,82.0,0.7578558225508317
LUMINOR,PAM01033,11900.0,USD,USA,2021,11900.0,10820.0,1080.0,9.981515711645102
LUMINOR,PAM01036,10900.0,EUR,France,2021,12862.0,13193.0,-331.0,-2.508906238156598
LUMINOR,PAM01036,1353000.0,JPY,Japan,2021,12312.300000000001,13193.0,-880.6999999999989,-6.675509740013635
LUMINOR,PAM01036,9800.0,GBP,UK,2021,13523.999999999998,13193.0,330.9999999999982,2.5089062381565843
LUMINOR,PAM01036,14200.0,USD,USA,2021,14200.0,13193.0,1007.0,7.632835594633518
LUMINOR,PAM01037,17500.0,EUR,France,2021,20650.0,21158.0,-508.0,-2.4009830796861706
